id,Name,Concepts,Elements,Astrological,Deities,imgAlt,imgCaption
1,Albatross,"Liberated, travel, limitless, god fate, sensitive, thoughtfulness","Air, Water",,,by Paul Carroll on Unsplash,"<a href=""https://unsplash.com/@mudmanuk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Paul Carroll</a> on <a href=""https://unsplash.com/s/photos/albatross?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
2,Alligator,"Retribution, creativity, efficiency, & bravery",Water,,,by Jack Kelly on Unsplash,"<a href=""https://unsplash.com/@jackkelly?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jack Kelly</a> on <a href=""https://unsplash.com/s/photos/alligator?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
3,Anaconda,"Balance, immortality, patience, power, wisdom, cunning, & elusiveness",Water,,,by Denis Doukhan from Pixabay,"<a href=""https://pixabay.com/users/denisdoukhan-607002/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1341077"">Denis Doukhan</a> from <a href=""https://pixabay.com//?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1341077"">Pixabay</a>"
4,Ant,"Diligence, unity, patience, self-control, sacrifice, loyalty, & honesty",Earth,,,by Jimmy Wong on Unsplash,"<a href=""https://unsplash.com/@jimmywongc91?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jimmy Wong</a> on <a href=""https://unsplash.com/s/photos/ant?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
5,Antelope,"Efficacious, energetic, defensive, perceptive, keen eyesight, & risk-taker","Air, Earth",,,by Alex on Unsplash,"<a href=""https://unsplash.com/@_alex?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Alex</a> on <a href=""https://unsplash.com/s/photos/antelope?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
6,Armadillo,"Sensitive, defensive, trustworthy, calm, isolated, & humble",Earth,,,by Suzanne D. Williams on Unsplash,"<a href=""https://unsplash.com/@scw1217?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Suzanne D. Williams</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
7,Bat,"Ego, fear, challenge, keen observation, inner-depth, illusion, rebirth, renewal, & clairvoyance",Air,,,by Rene Riegal on Unsplash,"<a href=""https://unsplash.com/@riegal?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Rene Riegal</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
8,Bear,"Power, bravery, understanding, peace, aggressive, authority, solitude,resurrection, rebirth, new life, & majesty",Earth,"Ursa Major, Ursa Minor",,by Daniel Diesenreither on Unsplash,"<a href=""https://unsplash.com/@daniels_photofactory?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Daniel Diesenreither</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
9,Beaver,"Determined, visionary, defensive, inventor, fantasizer, & subliminal","Earth, Water",,,by Max Saeling on Unsplash,"<a href=""https://unsplash.com/@maxsaeling?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Max Saeling</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
10,Bee,"Communication, love, success, wisdom, wealth, hard work, protection, endurance, tenacity, fertility, & chastity",Air,,,by Michael Milverton on Unsplash,"<a href=""https://unsplash.com/@milverton?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Michael Milverton</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
11,Black Swan,"Empathy, freedom, joy, dignity, loyalty, & exposition","Air, Water",,,by Sarah Kilian on Unsplash,"<a href=""https://unsplash.com/@rojekilian?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sarah Kilian</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
12,Bluebird,"Flexibility, innovative, kindness, thankfulness, togetherness, intuition, awareness, trickster, loyalty, & glory",Air,,,by John Duncan on Unsplash,"<a href=""https://unsplash.com/@jrduncan11?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">John Duncan</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
13,Buffalo,"Divine, strength, balance, thankfulness, wealth, bravery, freedom, kindness, respect, & firmness",Earth,,,by Pete Nuij on Unsplash,"<a href=""https://unsplash.com/@pete_nuij?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Pete Nuij</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
14,Bull,"Fertility, expressive, strength, courage, stubbornness, procurement, hasty, sovereignty, wealth, prone to anger, & the gods Zeus & Ra",Earth,Taurus,"Zeus, Ra",by Quaritsch Photography on Unsplash,"<a href=""https://unsplash.com/@quaritsch?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Quaritsch Photography</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
15,Butterfly,"Joy, romance, celebration, transformation, metamorphasis, renewal, rebirth, playfulness, spirituality, creativity, & peace",Air,,,by Anne Lambeck on Unsplash,"<a href=""https://unsplash.com/@munich0307?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Anne Lambeck</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
16,Camel,"Endurance, trust, commitment, determination, focus, humility, patience, & durability",Earth,,,by Wolfgang Hasselmann on Unsplash,"<a href=""https://unsplash.com/@wolfgang_hasselmann?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Wolfgang Hasselmann</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
17,Cardinal,"Cheerful, brilliant, bold, extraordinary, dignity, self-confidence, adaptable, loyalty, protection, & trust",Air,,,by Patrice Bouchard on Unsplash,"<a href=""https://unsplash.com/@patriceb?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Patrice Bouchard</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
18,Caribou,"Nomad, flexibility, sensitive, guidance, & assurance",Earth,,,by Brian Holdsworth on Unsplash,"<a href=""https://unsplash.com/@holdsworthdesign?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Brian Holdsworth</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
19,Cat,"Magic, curiosity, affection, observationl skills, secretive, supernatural, patience, independence, courage, & mystery","Air, Earth, Fire, Water",,,by Edgar on Unsplash,"<a href=""https://unsplash.com/@e_d_g_a_r?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Edgar</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
20,Cheetah,"Quick thinking, passion, flexibility, quick-qitted, freedom, progress, & protection","Air, Earth",,,by Sammy Wong on Unsplash,"<a href=""https://unsplash.com/@vr2ysl?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sammy Wong</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
21,Cougar,"Patience, observation, sensuality, courage, responsible, dependable, leadership, confidence, clever, awareness, messenger, balance, steadfast, dependable, decisiveness, clairvoyance, feminine,  strength, dominion, solitude, cunning, & spiritual warrior",Earth,,,by Priscilla Du Preez on Unsplash,"<a href=""https://unsplash.com/@priscilladupreez?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Priscilla Du Preez</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
22,Cow,"Power, nurturing, fertility, feminine, steadfastness, compassion, & perception",Earth,,,by Daniel Quiceno M on Unsplash,"<a href=""https://unsplash.com/ja/@daquima23?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Daniel Quiceno M</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
23,Coyote,"Jokester, trickster, adaptability, reveal truth, playfulness, & paradoxical",Earth,,,by Dylan Ferreira on Unsplash,"<a href=""https://unsplash.com/@dylanferreira?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Dylan Ferreira</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
24,Crab,"Wisdom, resilience, adaptability, growth, & resourcefulness",Water,Cancer,,by Mackenzie Cruz on Unsplash,"<a href=""https://unsplash.com/es/@mackenziejcruz?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mackenzie Cruz</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
25,Crane,"Isolated, integroty, endurance, attentive, self-reliant, & wisdom","Air, Water",,,by Alfred Leung on Unsplash,"<a href=""https://unsplash.com/@tuninglever?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Alfred Leung</a> on <a href=""https://unsplash.com/s/photos/crane-bird?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
26,Cricket,"Good fortune, luck, peace, & music",Earth,,,by Heiko Haller on Unsplash,"<a href=""https://unsplash.com/@heikohaller?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Heiko Haller</a> on <a href=""https://unsplash.com/s/photos/cricket-insect?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
27,Crocodile,"Wisdom, protector, keeper of knowledge, renewal, & growth","Earth, Water",,Sobek,by Gaetano Cessati on Unsplash,"<a href=""https://unsplash.com/@gaetanocessati?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Gaetano Cessati</a> on <a href=""https://unsplash.com/s/photos/crocodile?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
28,Crow,"Magical, fearless, adaptability, manipulative, wisdom, transformation, trickster, destiny, intelligence, flexibility, death, & the goddess An Morrigna",Air,,Morrígan,by Jesse van Vliet onUnsplash,"<a href=""https://unsplash.com/@jessevanvliet?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jesse van Vliet</a> on <a href=""https://unsplash.com/s/photos/crow?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
29,Cuckoo,"Flexibility, love, fortune, balance, shrewdness, & insightful",Air,,,by David Clode on Unsplash,"<a href=""https://unsplash.com/@davidclode?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">David Clode</a> on <a href=""https://unsplash.com/s/photos/cuckoo?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
30,Deer,"Love, generosity, elegance, grace, compassion, caring, safety, gentleness, vigilance, sensitivity, intuition, determination, profound change, & the god Cernunnos",Earth,,Cernunnos,by Laura College on Unsplash,"<a href=""https://unsplash.com/@laura_college?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Laura College</a> on <a href=""https://unsplash.com/s/photos/deer?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
31,Dog,"Loyalty, bravery, friends, affection, protection, communication, patience, & devotion",Earth,,,by Pauline Loroy on Unsplash,"<a href=""https://unsplash.com/@paulinel?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Pauline Loroy</a> on <a href=""https://unsplash.com/s/photos/dog?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
32,Dolphin,"Harmony, defensive, assistance, resurgence, lively, peace, protection, playfulness, joy, resurection, cooperation, team-work, & strength",Water,,,by NOAA on Unsplash,"<a href=""https://unsplash.com/@noaa?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">NOAA</a> on <a href=""https://unsplash.com/s/photos/dolphin?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
33,Dove,"Purity, gentleness, devotion, hope, love, communication, peace, & sacrifice",Air,,,by Douglas Bagg on Unsplash,"<a href=""https://unsplash.com/@nzdoug16?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Douglas Bagg</a> on <a href=""https://unsplash.com/s/photos/dove?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
34,Dragon,"Transformation, defensive, motivational, authoritative, magical, & strength","Air, Earth, Fire, Water",Dragon (Chinese),,by Ravit Sages on Unsplash,"<a href=""https://unsplash.com/@rsravit?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Ravit Sages</a> on <a href=""https://unsplash.com/s/photos/dragon?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
35,Dragonfly,"Transformation, lively, flexibilty, connection, emotional, adaptability, joy, lightness of being, emotions, faeries, deceit, & illusion",Air,,,by Jude Infantini on Unsplash,"<a href=""https://unsplash.com/@judowoodo_?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jude Infantini</a> on <a href=""https://unsplash.com/s/photos/dragonfly?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
36,Eagle,"Goal-oriented, focused, resilient, vision, power, freedom, courage, determination, confidence, & loyalty",Air,,Zeus,by Mathew Schwartz on Unsplash,"<a href=""https://unsplash.com/@cadop?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mathew Schwartz</a> on <a href=""https://unsplash.com/s/photos/eagle?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
37,Elephant,"Strength, loyalty, determination, confidence, honor, pride, dignity, royalty, power, wisdom, intuition, longevity, endurance, maternal, & rememberance",Earth,,,by Nam Anh on Unsplash,"<a href=""https://unsplash.com/@bepnamanh?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Nam Anh</a> on <a href=""https://unsplash.com/s/photos/elephant?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
38,Elk,"Strength, self-reliant, cleverness, magnificent, generosity, & dignity",Earth,,,by Y S on Unsplash,"<a href=""https://unsplash.com/@santonii?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Y S</a> on <a href=""https://unsplash.com/s/photos/elk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
39,Emu,"Flexibility, unity, expressive, lively, equality, & transit",Earth,,,by Jamie Rochester on Unsplash,"<a href=""https://unsplash.com/@rochesterstudio?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Jamie Rochester</a> on <a href=""https://unsplash.com/s/photos/emu?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
40,Falcon,"Goal-oriented, fearless, authoritative, freedom, intelligence, & victory",Air,,,by Delaney Van on Unsplash,"<a href=""https://unsplash.com/@delaneyvan?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Delaney Van</a> on <a href=""https://unsplash.com/s/photos/falcon?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
41,Fish,"Rebirth, fertility, unconscious or higher self, luck, change, health, & feelings",Water,Pisces,,by Sebastian Pena Lambarri on Unsplash,"<a href=""https://unsplash.com/@sebaspenalambarri?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sebastian Pena Lambarri</a> on <a href=""https://unsplash.com/s/photos/fish?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
42,Flamingo,"Balance, goal-oriented, clear-sighted, love, power, balance, & happiness",Water,,,by Edrick Krozendijk on Unsplash,"<a href=""https://unsplash.com/@edrxckk?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Edrick Krozendijk</a> on <a href=""https://unsplash.com/s/photos/flamingo?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
43,Fox,"Quick-witted, wisdom, luck, cleverness, curiosity, cunning, adaptability, awareness, noctural activities, dream work, & playfulness",Earth,,,by Alexander Andrews on Unsplash,"<a href=""https://unsplash.com/@alex_andrews?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Alexander Andrews</a> on <a href=""https://unsplash.com/s/photos/fox?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
44,Frog,"Transformation, sensitivity, peace, fertility, cleansing, rebirth, peace, cleansing, renewal, abundance, metamorphasis, & power","Earth, Water",,,by Stephen Hocking on Unsplash,"<a href=""https://unsplash.com/@shocking57?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Stephen Hocking</a> on <a href=""https://unsplash.com/s/photos/frog?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
45,Gazelle,"Alert, swift, consciousness, anticipation, refinement, & lightness",Earth,,,by Magdalena Kula Manchee on Unsplash,"<a href=""https://unsplash.com/@magdalenakulamanchee?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Magdalena Kula Manchee</a> on <a href=""https://unsplash.com/s/photos/gazelle?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
46,Giraffe,"Individuality, intelligence, peace, farsightedness, cleverness, gentleness, sincerity, kindness, softness, calm, awareness, & patience",Earth,,,by Sofia Zubiria on Unsplash,"<a href=""https://unsplash.com/@szubiria?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Sofia Zubiria</a> on <a href=""https://unsplash.com/s/photos/giraffe?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
47,Goat,"Firmness, self-reliant, isolated, vigor, alert, strength, & stubbornness",Earth,Capricorn,,by Maxime Agnelli on Unsplash,"<a href=""https://unsplash.com/es/@maxa?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Maxime Agnelli</a> on <a href=""https://unsplash.com/s/photos/goat?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
48,Goldfinch,"Courageous, defensive, dedication, happiness, luck, & originality",Air,,,by Mark Olsen on Unsplash,"<a href=""https://unsplash.com/@markolsen?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Mark Olsen</a> on <a href=""https://unsplash.com/s/photos/goldfinch?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
49,Goose,"Joy, bravery, guidance, fertility, loyalty, reliability, teamwork, vigilance, & wisdom / Evil, vicious, fucking bastards",Air,,,by Alex Guillaume on Unsplash,"<a href=""https://unsplash.com/@alx2bgx?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Alex Guillaume</a> on <a href=""https://unsplash.com/s/photos/goose?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>"
