Name,Concepts,Elements,Astrological,Deities
Albatross,"Liberated, travel, limitless, god fate, sensitive, thoughtfulness","Air, Water",,
Alligator,"Retribution, creativity, efficiency, & bravery",Water,,
Anaconda,"Balance, immortality, patience, power, wisdom, cunning, & elusiveness",Water,,
Ant,"Diligence, unity, patience, self-control, sacrifice, loyalty, & honesty",Earth,,
Antelope,"Efficacious, energetic, defensive, perceptive, keen eyesight, & risk-taker","Air, Earth",,
Armadillo,"Sensitive, defensive, trustworthy, calm, isolated, & humble",Earth,,
Bat,"Ego, fear, challenge, keen observation, inner-depth, illusion, rebirth, renewal, & clairvoyance",Air,,
Bear,"Power, bravery, understanding, peace, aggressive, authority, solitude,resurrection, rebirth, new life, & majesty",Earth,"Ursa Major, Ursa Minor",
Beaver,"Determined, visionary, defensive, inventor, fantasizer, & subliminal","Earth, Water",,
Bee,"Communication, love, success, wisdom, wealth, hard work, protection, endurance, tenacity, fertility, & chastity",Air,,
Black Swan,"Empathy, freedom, joy, dignity, loyalty, & exposition","Air, Water",,
Bluebird,"Flexibility, innovative, kindness, thankfulness, togetherness, intuition, awareness, trickster, loyalty, & glory",Air,,
Buffalo,"Divine, strength, balance, thankfulness, wealth, bravery, freedom, kindness, respect, & firmness",Earth,,
Bull,"Fertility, expressive, strength, courage, stubbornness, procurement, hasty, sovereignty, wealth, prone to anger, & the gods Zeus & Ra",Earth,Taurus,"Zeus, Ra"
Butterfly,"Joy, romance, celebration, transformation, metamorphasis, renewal, rebirth, playfulness, spirituality, creativity, & peace",Air,,
Camel,"Endurance, trust, commitment, determination, focus, humility, patience, & durability",Earth,,
Cardinal,"Cheerful, brilliant, bold, extraordinary, dignity, self-confidence, adaptable, loyalty, protection, & trust",Air,,
Caribou,"Nomad, flexibility, sensitive, guidance, & assurance",Earth,,
Cat,"Magic, curiosity, affection, observationl skills, secretive, supernatural, patience, independence, courage, & mystery","Air, Earth, Fire, Water",,
Cheetah,"Quick thinking, passion, flexibility, quick-qitted, freedom, progress, & protection","Air, Earth",,
Cougar,"Patience, observation, sensuality, courage, responsible, dependable, leadership, confidence, clever, awareness, messenger, balance, steadfast, dependable, decisiveness, clairvoyance, feminine,  strength, dominion, solitude, cunning, & spiritual warrior",Earth,,
Cow,"Power, nurturing, fertility, feminine, steadfastness, compassion, & perception",Earth,,
Coyote,"Jokester, trickster, adaptability, reveal truth, playfulness, & paradoxical",Earth,,
Crab,"Wisdom, resilience, adaptability, growth, & resourcefulness",Water,Cancer,
Crane,"Isolated, integroty, endurance, attentive, self-reliant, & wisdom","Air, Water",,
Cricket,"Good fortune, luck, peace, & music",Earth,,
Crocodile,"Wisdom, protector, keeper of knowledge, renewal, & growth","Earth, Water",,Sobek
Crow,"Magical, fearless, adaptability, manipulative, wisdom, transformation, trickster, destiny, intelligence, flexibility, death, & the goddess An Morrigna",Air,,An Morigna
Cuckoo,"Flexibility, love, fortune, balance, shrewdness, & insightful",Air,,
Deer,"Love, generosity, elegance, grace, compassion, caring, safety, gentleness, vigilance, sensitivity, intuition, determination, profound change, & the god Cernunnos",Earth,,Cernunnos
Dog,"Loyalty, bravery, friends, affection, protection, communication, patience, & devotion",Earth,,
Dolphin,"Harmony, defensive, assistance, resurgence, lively, peace, protection, playfulness, joy, resurection, cooperation, team-work, & strength",Water,,
Dove,"Purity, gentleness, devotion, hope, love, communication, peace, & sacrifice",Air,,
Dragon,"Transformation, defensive, motivational, authoritative, magical, & strength","Air, Earth, Fire, Water",Dragon (Chinese),
